source_raw,source_type,relation,target_raw,target_type,source_chunk_id,source_row_id,published_date,evidence,confidence
Sheila Whalen,Person,LEADS,Diocese of Colorado Springs,Company,https://gazette.com/opinion/editorial-schools-should-get-control-of-the-phones/article_5ac4df88-581c-11ee-957c-9f4babb3ff16.html::c0000,3525,2023-09-21,The Diocese of Colorado Springs Superintendent Sheila Whalen cites research,0.9
Diocese of Colorado Springs,Company,PARTNERED_WITH,parents,Person,https://gazette.com/opinion/editorial-schools-should-get-control-of-the-phones/article_5ac4df88-581c-11ee-957c-9f4babb3ff16.html::c0000,3525,2023-09-21,So we need to partner with the parents to help students have a healthier relationship with technology,0.8
Microsoft,Company,INVESTED_IN,Climate Innovation Fund,Technology,https://www.geekwire.com/2023/big-techs-billions-for-climate-heres-where-amazon-and-microsoft-are-making-their-carbon-bets/::c0000,3609,2023-03-01,Microsoft announced Microsoft's $1 billion Climate Innovation Fund,1.0
Amazon,Company,INVESTED_IN,Climate Pledge Fund,Technology,https://www.geekwire.com/2023/big-techs-billions-for-climate-heres-where-amazon-and-microsoft-are-making-their-carbon-bets/::c0000,3609,2023-03-01,Amazon unveiled Amazon's $2 billion Climate Pledge Fund,1.0
Midjourney 4,Technology,DEVELOPED,AI programs,Technology,https://www.washingtonpost.com/technology/2023/03/26/ai-generated-hands-midjourney/::c0000,3690,2023-03-30,AI programs such as Midjourney 4 used to render hands,0.9
Midjourney Version 5,Technology,DEVELOPED,AI programs,Technology,https://www.washingtonpost.com/technology/2023/03/26/ai-generated-hands-midjourney/::c0000,3690,2023-03-30,a hand created using Version 5 of Midjourney is much more realistic,0.9
Intel,Company,DEVELOPED,3D V-Cache Tech,Technology,https://www.pcmag.com/news/intel-our-3d-v-cache-tech-will-take-a-different-approach-than-amd::c0000,3714,2023-09-19,Intel: Our 3D V-Cache Tech Will Take a Different Approach Than AMD,1.0
Intel,Company,USES,3D V-Cache Tech,Technology,https://www.pcmag.com/news/intel-our-3d-v-cache-tech-will-take-a-different-approach-than-amd::c0000,3714,2023-09-19,The company plans to use the chip-stacking tech for Intel processors,1.0
Center for Democracy and Technology,Company,DEVELOPED,artificial intelligence content filtering,Technology,https://www.lgbtqnation.com/2023/09/school-computer-tech-is-harming-lgbtq-students/::c0000,3822,2023-09-25,A new report from the Center for Democracy and Technology (CDT) found that computer technology — like artificial intelligence (AI) content filtering,0.9
Center for Democracy and Technology,Company,DEVELOPED,student activity monitoring,Technology,https://www.lgbtqnation.com/2023/09/school-computer-tech-is-harming-lgbtq-students/::c0000,3822,2023-09-25,A new report from the Center for Democracy and Technology (CDT) found that computer technology — like ... student activity monitoring,0.9
WiMi,Company,DEVELOPED,silent speech recognition system,Technology,https://it.tmcnet.com/news/2023/04/25/9801042.htm::c0000,3874,2023-04-25,WiMi Releases A Highly Reliable Silent Speech Recognition System Based on Multi-featured Signal Sensing Technology,1.0
WiMi,Company,DEVELOPED,multi-featured signal perception technology,Technology,https://it.tmcnet.com/news/2023/04/25/9801042.htm::c0000,3874,2023-04-25,a highly reliable silent speech recognition system based on multi-featured signal perception technology,1.0
WiMi,Company,DEVELOPED,Hologram Augmented Reality (AR) Technology,Technology,https://it.tmcnet.com/news/2023/04/25/9801042.htm::c0000,3874,2023-04-25,a leading global Hologram Augmented Reality ('AR') Technology provider,1.0
ChatGPT,Technology,DEVELOPED,OpenAI,Company,https://thejournal.com/articles/2023/03/22/why-ed-tech-is-not-endorsing-a-ban-on-chatgpt-in-schools.aspx::c0000,3916,2023-03-22,ChatGPT is projected to either further erode K-12 learning outcomes or it will boost writing instruction,0.0
Diagnal,Company,PARTNERED_WITH,Lounges.tv,Company,https://www.rapidtvnews.com/2023092764248/diagnal-lounges-tv-maintain-technology-partnership.html::c0000,3945,2023-09-27,Diagnal has extended its technology partnership with Lounges.tv,1.0
Chili's,Company,PARTNERED_WITH,Signal Theory,Company,https://www.joplinglobe.com/region/national_business/chilis-selects-signal-theory-as-aor-for-menu-design-suite/article_76507269-4ec7-50f6-9a9e-70b6e8642a6b.html::c0000,3966,2023-10-27,Signal Theory ... has been selected as the creative partner,0.95
Scan-Optics,Company,PARTNERED_WITH,UKG,Company,https://markets.businessinsider.com/news/stocks/scan-optics-expands-technology-partnership-with-ukg-1032014801::c0000,4006,2023-01-12,Scan-Optics Expands Technology Partnership with UKG,0.95
Information Services Group,Company,LEADS,industry,Technology,https://www.01net.it/isg-advisors-recognized-as-2022-hro-today-superstars-leading-clients-through-disruptive-times/::c0000,4080,2022-12-20,HRO Today has named two advisors from Information Services Group (ISG) ... as 2022 Superstars for their leadership in guiding the industry,0.8
Ox Appsec Security Ltd.,Company,DEVELOPED,OX-GPT,Technology,https://siliconangle.com/2023/05/18/ox-security-integrates-chatgpt-improve-software-supply-chain-security/::c0000,4103,2023-05-18,Ox Appsec Security Ltd. today announced the launch of OX-GPT a ChatGPT integration,1.0
OX-GPT,Technology,USES,ChatGPT,Technology,https://siliconangle.com/2023/05/18/ox-security-integrates-chatgpt-improve-software-supply-chain-security/::c0000,4103,2023-05-18,OX-GPT a ChatGPT integration,1.0
Citizen,Company,USES,NASA technology,Technology,https://www.zdnet.com/article/citizens-new-watch-utilizes-nasa-technology-and-ai-to-determine-your-fatigue-ces-2023/::c0000,4112,2023-01-06,Citizen's new watch uses NASA technology and AI to determine your fatigue,1.0
IBM,Company,DEVELOPED,online training and digital credentials,Technology,https://www.tmcnet.com/usubmit/-new-ibm-survey-reveals-greatest-perceived-barrier-professional-/2023/02/14/9759673.htm::c0000,4133,2023-02-14,IBM (NYSE: IBM) unveiled today ... online training and digital credentials are emerging as a recognized pathway,0.8
Koch Engineered Solutions,Company,PARTNERED_WITH,Percepto,Company,https://www.csrwire.com/press_releases/765816-koch-engineered-solutions-and-percepto-join-forces-bring-cutting-edge-ai-and::c0000,4169,2023-02-08,Koch Engineered Solutions and Percepto Join Forces,1.0
Koch Engineered Solutions,Company,USES,AI and Autonomous Drone Technology,Technology,https://www.csrwire.com/press_releases/765816-koch-engineered-solutions-and-percepto-join-forces-bring-cutting-edge-ai-and::c0000,4169,2023-02-08,bring Cutting-Edge AI and Autonomous Drone Technology to Industrial Customers,0.9
MAI,Company,ACQUIRED,WASI,Company,https://www.joplinglobe.com/region/national_business/mai-acquires-call-center-operator-wasi-to-bolster-mai-voice-contact-services-division/article_82704371-7ef1-5a29-b345-9b41d33121a0.html::c0000,4189,2023-03-14,MAI Acquires Call Center Operator WASI,1.0
Information Management Technology,Technology,USES,applications and services,Technology,https://www.investopedia.com/terms/i/information-management-technology-imt.asp::c0000,4236,2023-01-04,developers occupy one of the most common roles in information technology creating the applications and services used by a company''s employees or consumers,0.8
Prime Minister Netanyahu,Person,LEADS,National Information Service,Company,https://www.israelnationalnews.com/flashes/605337::c0000,4391,2023-04-20,Prime Minister Netanyahu's leading candidate for the headship of the National Information Service,0.9
Kinneret Barashi,Person,LEADS,National Information Service,Company,https://www.israelnationalnews.com/flashes/605337::c0000,4391,2023-04-20,lawyer Kinneret Barashi ... for the headship of the National Information Service,0.9
Eva Navarro López,Person,LEADS,School of Information,Company,https://www.rit.edu/study/computing-and-information-sciences::r04404::c0000,4404,2023-08-08,Eva Navarro López has been named director of the School of Information,0.95
Explorex,Company,PARTNERED_WITH,MSwipe,Company,https://technews.tmcnet.com/news/2023/03/06/9771297.htm::c0000,4415,2023-03-06,EXPLOREX PARTNERS WITH MSWIPE,0.95
Symphony,Company,PARTNERED_WITH,Owensboro Health,Company,https://news.yahoo.com/music-call-program-continues-prosper-102300541.html::c0000,4442,2022-12-17,"In 2016 Symphony and Owensboro Health partnered up for the start of the '""Music on Call'"" program",1.0
Aware,Company,PARTNERED_WITH,World Wide Technology,Company,https://www.tmcnet.com/usubmit/2023/01/18/9745239.htm::c0000,4463,2023-01-18,Aware ... announced a partnership with World Wide Technology,1.0
Vi,Company,PARTNERED_WITH,Truecaller,Company,https://technews.tmcnet.com/news/2023/07/13/9847589.htm::c0000,4600,2023-07-13,Vi ... has joined hands with Truecaller,1.0
AgencyBloc,Company,ACQUIRED,Radius,Company,https://www.tmcnet.com/channels/call-center-management/news/-agencybloc-acquires-radius-provide-enhanced-capabilities-benefits-brokers-/2023/02/01/9753160.htm::c0000,4603,2023-02-01,AgencyBloc Acquires Radius,1.0
Inseego,Company,PARTNERED_WITH,Pocket Box,Company,https://www.businesscar.co.uk/news/2023/january/inseego-and-pocket-box-partnership-offers-integrated-fleet-technology::c0000,4627,2023-01-04,Inseego and Pocket Box partnership,1.0
AST Spacemobile,Company,WORKED_AT,Vodafone Raku,Company,https://www.msn.com/en-us/news/technology/first-ever-space-based-voice-call-made-in-west-texas/ar-AA1aqzkJ::c0000,4640,2023-04-27,This call was made by AST Spacemobile with help from their partners Vodafone Raku,0.8
Mood Media,Company,ACQUIRED,Vibenomics,Company,https://www.finanzen.at/nachrichten/aktien/mood-media-expands-in-store-solutions-with-acquisition-of-vibenomics-the-leading-in-store-ad-network-technology-and-service-provider-1032182119::c0000,4665,2023-03-22,Mood Media Expands In-Store Solutions with Acquisition of Vibenomics,1.0
Sumayya Shaheen,Person,WORKED_AT,10Pearls,Company,https://propakistani.pk/2023/02/27/10pearls-successfully-conducts-ai-summit-2023-in-islamabad/::c0000,4695,2023-02-27,Sumayya Shaheen (Associate Director Software Services 10Pearls),1.0
UKG,Company,DEVELOPED,HR payroll and workforce management solutions,Technology,https://ca.news.yahoo.com/ukg-celebrates-2022-technology-partners-150000192.html::c0000,4766,2023-01-05,UKG a leading provider of HR payroll and workforce management solutions,0.9
VIQ Solutions,Company,PARTNERED_WITH,JAVS,Company,https://technews.tmcnet.com/news/2023/06/15/9833334.htm::c0000,4885,2023-06-15,VIQ Solutions Signs Strategic Partnership with JAVS,1.0
NetScribeTM,Technology,USES,AI,Technology,https://technews.tmcnet.com/news/2023/06/15/9833334.htm::c0000,4885,2023-06-15,Using AI. The technology uses advanced proprietary AI algorithms,1.0
FirstDraftTM,Technology,USES,AI,Technology,https://technews.tmcnet.com/news/2023/06/15/9833334.htm::c0000,4885,2023-06-15,Using AI. The technology uses advanced proprietary AI algorithms,1.0
Doug,Person,USES,homemade antenna,Technology,https://www.msn.com/en-us/news/technology/these-spam-callers-are-getting-out-of-hand-dude-contacts-the-iss-with-homemade-antenna/ar-AA1ifgeQ::c0000,4892,2023-10-15,Doug's homemade antenna,1.0
Doug,Person,WORKED_AT,amateur ham radio,Technology,https://www.msn.com/en-us/news/technology/these-spam-callers-are-getting-out-of-hand-dude-contacts-the-iss-with-homemade-antenna/ar-AA1ifgeQ::c0000,4892,2023-10-15,Doug an amateur ham radio operator,1.0
Woody Hoburg,Person,WORKED_AT,International Space Station,Technology,https://www.msn.com/en-us/news/technology/these-spam-callers-are-getting-out-of-hand-dude-contacts-the-iss-with-homemade-antenna/ar-AA1ifgeQ::c0000,4892,2023-10-15,talk to astronaut Woody Hoburg,1.0
SpaceMobile,Company,LEADS,space-based voice call using a standard smartphone,Technology,https://www.msn.com/en-us/news/technology/first-ever-space-based-voice-call-using-a-standard-smartphone-achieved/ar-AA1anBJK::c0000,4913,2023-04-26,Breakthrough demonstrates ‘what many once considered impossible’ says SpaceMobile boss,1.0
PTC,Company,DEVELOPED,ServiceMax Field Service Management Technology,Technology,https://www.newswire.ca/news-releases/ptc-applauded-by-frost-amp-sullivan-for-delivering-servicemax-field-service-management-technology-that-optimizes-operations-of-energy-companies-822163069.html::c0000,4916,2023-05-24,PTC Applauded by Frost & Sullivan for Delivering ServiceMax Field Service Management Technology,1.0
Microsoft,Company,DEVELOPED,ChatGPT,Technology,https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/::c0000,4944,2023-05-02,Microsoft could offer private ChatGPT to businesses,0.9
